Driver,LapNumber,TrackStatus,SafetyCar,VSC,YellowFlag,RedFlag,RecentSC,Race,Year
SAI,13.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,14.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,15.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,16.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,17.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,18.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,19.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,20.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,21.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,22.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,23.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,24.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,25.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,26.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,27.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,28.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,29.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,30.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,31.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,32.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,33.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,34.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,35.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,36.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,37.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,38.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,39.0,12,0,0,1,0,0,Abu Dhabi Grand Prix,2022
SAI,40.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,41.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,42.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,43.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,44.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,45.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,46.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,47.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,48.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,49.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,50.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,51.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,52.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,53.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,54.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,55.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,56.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,57.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,58.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,1.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,2.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
